"id","breed_name","height","weight","lifespan","health","recommended_tests","what_to_feed","how_to_feed","nutritional_tips"
"1","吉娃娃","12.7-20.3 公分","不超過 2.7 公斤","14-16 年","大多數吉娃娃都是健康的小狗，但有些遺傳問題可能會影響這個品種。您應該從飼養員那裡選擇狗，飼養員會定期對所有種畜進行基因健康檢查，以確保他們生產的小狗盡可能具有基因健康。可能影響吉娃娃的一些問題包括潛在的心臟問題（動脈導管未閉、二尖瓣疾病）、眼疾和髕骨脫位（膝蓋骨鬆動）。據了解，該品種還會發生特發性癲癇。","髕骨評估 |心臟檢查 |眼科醫師評估","吉娃娃容易肥胖，因此，給它們均衡的飲食和每天運動非常重要。如果發現成年吉娃娃體重增加，應餵食低熱量飲食。否則，建議每天兩次均衡的成人小口飲食。
建議餵食吉娃娃乾粗飼料，以減少罹患牙周病的風險。這是因為乾粗磨食物對牙齒有磨蝕作用，可以去除一些牙菌斑。一定要注意監控你的吉娃娃的零食和小吃——即使是幾卡路里的熱量，對於玩具犬來說也會累積起來。","根據獸醫的建議，吉娃娃幼犬應該經常餵食（每天三到四次），以避免低血糖。高脂肪、高蛋白質和高複合碳水化合物的飲食也會降低低血糖問題的風險。
用高架狗碗餵養 Chi 可以幫助患有氣管塌陷的老年犬。如果您的小狗低下頭吃東西，這可能會導致呼吸道閉合併引起咳嗽。","可能有益於該品種健康的補充劑包括歐米茄脂肪酸，它對狗的心臟、大腦、皮膚和關節都有好處。您的獸醫團隊可能也會建議您使用牙齒咀嚼物和補充劑來降低牙周病的風險。"
"2","博美犬","15.2-17.8 公分","1.4-3.2 公斤","12-16 年","博美犬通常是健康的小型犬，負責任的飼養者會篩檢其寵物是否患有髕骨脫位（膝蓋骨滑出原位）、甲狀腺功能減退、氣管塌陷、充血性心臟衰竭、癲癇和 X 脫髮（黑皮病）等健康問題。動物骨科基金會 (OFA) 是一個在公共資料庫中保存健康篩檢資訊的註冊機構。當考慮飼養一隻小狗時，請務必向飼養員索取該窩小狗父母的 OFA 結果副本。","髕骨評估 |心臟檢查 |眼科醫師評估","由於博美犬容易出現低血糖症，因此餵食它們高品質的狗糧非常重要。符合美國飼料管理協會 (AAFCO) 標準的食物是確保您的博美犬獲得所需的所有營養的最佳起點。
請諮詢您的獸醫以選擇最好的狗糧，並始終給您的博美犬餵食為其當前生命階段配製的食物：為博美犬幼犬餵食幼犬糧，為至少 1 歲的博美犬餵食成犬糧，為老年犬餵食老年犬糧。
您甚至可以為您的博美犬餵食特定品種的食物。","由於博美犬幼犬的新陳代謝快，脂肪儲存少，因此需要經常餵食，一天餵多次。
成年和老年博美犬每天應至少餵食三次，以繼續預防低血糖的風險。老年博美犬也應攝取含有抗氧化劑的食物，有助於防止自由基損傷，並有助於減緩老化的一些影響，例如認知能力下降。","由於博美犬可能有皮膚、眼睛和關節問題，因此與獸醫討論在它們的飲食中添加適合狗的補充劑可能會有所幫助。您的獸醫可能會建議餵食您的狗 Omega-3 脂肪酸（魚油）和/或關節補充劑，如軟骨素或葡萄糖胺。
在沒有先諮詢獸醫的情況下，切勿給你的狗餵食補充劑。"
"3","約克夏","17.8-20.3 公分","3.2 公斤","11-15 年","約克夏梗犬通常都是健康的狗，負責任的飼養者會篩檢其犬隻的健康情況，例如眼部異常和髕骨脫位（一種膝蓋骨脫臼，在人類中曾被稱為「膝蓋扭傷」）。為了避免後者，應注意限制約克夏犬的跳躍高度，尤其是在幼犬時期。","髕骨評估 |眼科醫師評估","餵食經美國飼料管理協會 (AAFCO) 批准的商業粗磨飼料或濕狗糧是確保您的約克夏梗犬獲得完整均衡飲食的好方法。
約克夏幼犬應該餵食專為幼犬配製的食物或指定用於「所有生命階段」的食物。對於成年犬，獸醫可能會建議採用以牙齒保健為重點的飲食，以幫助預防牙齒疾病。","因為約克夏犬是小型犬，成犬每天餵食兩到三次即可。然而，約克夏幼犬每天應該吃三到四頓小餐來幫助維持血糖。
專為小嘴巴設計的粗磨食物最適合約克夏梗犬。","健康的約克夏梗犬應該從 AAFCO 認可的狗糧中獲取所有必需的營養。但是您的獸醫可能會根據您的狗的特定健康需求為其推薦某些補充劑。
約克夏犬可以從飲食中添加 Omega-3 脂肪酸 (DHA/EPA) 中受益。 Omega-3 脂肪酸具有天然抗炎作用，有助於維護皮膚、毛髮、腎臟、關節和心臟的健康，它們存在於皮膚和關節補充劑、魚油以及一些專門配製的狗糧中，例如 Purina® Pro Plan® Bright Mind 狗糧。"
"4","西施犬","22.9-26.7 公分","4.1-7.3 公斤","10-18 年","由於皮毛厚且臉短，西施犬不耐熱，也不擅長游泳。大部分西施犬通常都很健康，負責任的飼養者會篩檢寵物的健康狀況，例如髖關節發育不良、髕骨脫位（膝蓋骨滑脫）、眼部異常（包括白內障）、進行性視網膜萎縮、視網膜脫落，以及由於眼瞼閉合不當導致過度暴露在空氣中而引起的角膜乾燥和發炎。","沒有建議的健康檢查","西施犬容易肥胖，因此，餵食它們均衡的飲食並避免全天餵食過多零食非常重要。建議成人每天兩次均衡的小份飲食。
寵物主人也應考慮餵食西施犬乾粗磨食物而不是罐頭食品，以減少牙周病的風險，因為乾粗磨食物具有研磨作用，可以去除一些牙菌斑。針對牙齒的飲食也有益處。
您還可以找到專為成年西施犬和幼犬配製的食物。","西施幼犬需要頻繁進食（每天約三到四頓），以避免低血糖症的風險。高脂肪、高蛋白質和複合碳水化合物的飲食將降低低血糖問題的風險，精心配製的幼犬小型犬飲食通常包含所有這些成分。
當您的西施犬幼犬長到一歲左右時，慢慢地讓其過渡到成年犬糧。","如果您的西施犬吃的狗糧符合美國飼料管理協會 (AAFC) 的指導方針，那麼除非您的獸醫建議，否則它們不需要任何額外的補充。
可以支持此品種健康的狗補充劑包括歐米茄脂肪酸，它對西施犬的心臟、大腦、皮膚和關節有益。您的獸醫也可能建議您使用牙齒咀嚼物來減少牙周病的風險。"
"5","馬爾濟斯","17.8-22.9 公分","小於 3.2 公斤","12-15 年","馬耳他犬是一種健康的犬種，幾乎沒有健康問題，通常可以活到兩位數。負責任的飼養者會對牲畜進行健康狀況篩檢，例如髕骨脫位和心臟異常，例如 PDA（動脈導管未閉）。建議對馬耳他犬幼犬進行膽汁酸測試，以排除肝分流和微血管發育不良（MVD）等先天性肝臟問題。據報道，馬耳他人患有腦炎（又稱 GME）。目前，尚無可用的篩檢測試。美國馬耳他犬協會正在與研究人員合作尋找答案，並可能在不久的將來進行基因測試。與所有玩具犬種一樣，牙齒保養非常重要，馬耳他犬應該每天用專為狗配製的牙膏刷牙，並在獸醫處進行常規清潔。","髕骨評估 |心臟檢查 |血清膽汁酸","為馬耳他犬選擇最佳的飲食取決於每隻狗的特定需求。
雖然選擇含有高品質成分的飲食始終很重要，但最好與您的獸醫討論飲食。獸醫可以根據您狗的具體病史提出建議。
您選擇的狗糧必須符合美國飼料管理協會（AAFCO）制定的營養標準。甚至還有一些專為馬耳他犬設計的品種特定狗糧；詢問您的獸醫這些是否對您的狗來說是好的選擇。","由於體型較小，如果馬耳他犬幼犬全天沒有吃足夠的食物，很容易患低血糖（低血糖）。可以透過每天給小狗吃三到四次小餐來避免這種情況，直到它們大約四個月大。
在這個年齡，他們的身體更適合調節血糖水平，他們可以過渡到每天兩餐（或三餐，如果需要的話）。成年馬耳他犬通常每天吃兩頓飯，早上和晚上。
馬耳他犬容易肥胖。避免過度餵養你的小狗，以便它們能夠保持健康的體重和身體狀況。","對於患有髕骨脫位的馬耳他犬，給它們提供含有葡萄糖胺和軟骨素的關節補充劑可能會有益。此外，Omega-3 補充劑（魚油）有助於保護關節健康，並保持皮膚和毛髮茂盛柔軟。
在給你的狗餵食補充劑之前，請務必先諮詢你的獸醫。"
"6","臘腸犬","12.7-15.2 公分","5.0 公斤以下","12-16 年","臘腸犬通常是一種健康的犬種，只要照顧得當，飲食合理，運動量充足，肌肉張力良好，臘腸犬的壽命可以達到 12 至 16 年。為了防止臘腸犬的長背部椎間盤受損，請注意不要讓它變得超重，並始終監控它的活動，以避免背部受傷。與大多數有垂耳的狗一樣，臘腸犬如果耳朵沒有保持清潔，也容易患上耳部感染。","髕骨評估 |心臟檢查 |眼科醫師評估","臘腸犬需要高品質、適合其年齡（幼犬、成年犬或老年犬）的飲食來滿足其營養需求。給你的臘腸犬餵食美國飼料管理協會 (AAFCO) 批准的食物，以確保食物中的成分符合既定標準。
避免給臘腸犬餵食餐桌上的殘羹剩飯和動物骨頭；它們可能導致嘔吐，腹瀉，厭食或胃腸道阻塞。許多人類食物的脂肪含量也很高，這會導致包括胰臟炎在內的嚴重併發症。
您的獸醫可能會建議一種專門針對牙齒護理的飲食，以減少臘腸犬牙齒上積聚的牙菌斑和牙垢的數量。","一般來說，臘腸幼犬每天應餵食三至四次，成年犬則每天應餵食兩次。
為小型犬配製的飲食非常適合臘腸犬，因為它們的食物顆粒通常較小，更容易咀嚼。與您的獸醫討論如何為您的臘腸犬選擇最好的狗糧。","食用 AAFCO 認可飲食的狗將從其食物中獲取所有所需的營養。但是您的獸醫可能會推薦為您的臘腸犬提供膳食補充劑以支持您的狗的背部和眼睛健康，包括：
葡萄糖胺、軟骨素和甲基磺酰甲烷 (MSM) 補充劑可促進關節健康。
Omega-3 脂肪酸（魚油）具有抗炎特性，可促進皮膚和毛髮健康。
某些抗氧化劑和維生素可以減輕眼睛中特殊晶狀體細胞的壓力並延緩白內障的發展。"
"7","玩具貴賓犬","不超過 25.4 公分","1.8-2.7 公斤","10-18 年","大多數玩具貴賓犬都過著長壽、快樂和健康的生活，這要歸功於盡職盡責的飼養者的努力，他們定期對所有繁殖的貴賓犬進行檢測。但是，與所有品種一樣，也可能出現一些健康問題，包括髖關節發育不良和幾種眼部疾病。此品種有時也會出現特發性癲癇、皮脂腺炎、血管性血友病和免疫介導的疾病。玩具貴賓犬和迷你貴賓犬比標準貴賓犬更容易出現兩種骨科問題，即萊格-卡韋-佩爾塞斯症候群和髕骨脫位。","髕骨評估 |眼科醫師評估 |進行性視網膜萎縮，PRCD (PRA-prcd，PRCD) - DNA 測試","餵食符合美國飼料管理協會 (AAFCO) 制定的營養標準的商業粗磨飼料或濕糧是確保您的玩具貴賓犬獲得完整均衡飲食的好方法。
應該給小狗餵食專門為小狗配製的食物或適合所有生命階段的食物。對於玩具貴賓犬成年犬，獸醫可能會建議以牙齒為重點的飲食，以幫助預防牙齒疾病。
與您的獸醫討論適合您的狗的最佳食物。一些品牌，包括皇家寵物食品，甚至專門為貴賓犬幼犬和成年犬製作狗糧。","因為玩具貴賓犬是小型犬，所以每天餵食兩到三次就可以了。然而，玩具貴賓犬幼犬應該每天按時吃三到四頓小餐，以幫助維持血糖並防止低血糖。","一些玩具貴賓犬可能會從在其飲食中添加 Omega-3 脂肪酸 (DHA/EPA) 中受益。
皮膚和關節補充劑、魚油，甚至一些專門配製的狗糧中都含有 Omega-3 脂肪酸。這些脂肪酸起到天然抗發炎劑的作用，有助於保護皮膚、毛髮、腎臟、關節和心臟。"
"8","巨型貴賓犬","超過 38.1 公分","18.1-22.7 公斤","10-18 年","大多數貴賓犬都過著長壽、快樂和健康的生活，這要歸功於盡心盡力、負責任的飼養者的努力，他們定期對所有繁殖的牲畜進行檢測。但是，與所有品種一樣，也可能出現一些健康問題，包括髖關節發育不良和幾種眼部疾病。此品種有時也會出現特發性癲癇、皮脂腺炎、血管性血友病和免疫介導的疾病。玩具貴賓犬和迷你貴賓犬比標準貴賓犬更容易出現兩種骨科問題，即萊格-卡韋-佩爾塞斯症候群和髕骨脫位。標準品種更容易出現胃擴張、扭轉（膨脹）和皮脂腺炎。","髖關節評估 |眼科醫師評估 |新生兒腦病變伴隨癲癇的 DNA 測試 (NEwS) 或透過親子關係明確 (僅限標準) |自體免疫性甲狀腺炎評估（僅標準）|血管性血友病 I (VWDI) - DNA 測試","標準貴賓犬是運動型犬，需要適合大型犬的營養全面的飲食。如果您的貴賓犬每天運動幾個小時，建議採用運動型飲食，因為它可以提供更多的熱量。避免食用人類食物和餐桌上的剩菜，以防止胃腸道問題。","讓標準貴賓犬的卡路里攝取量與其生活方式和能量相匹配很重要。貴賓犬的體型非常瘦，並且容易患髖關節發育不良引起的關節炎，因此不要過度餵食，並要注意狗糧袋上製造商的建議。
貴賓犬每天應該餵食兩次。如果您的狗吃得太快，有嘔吐和腹脹的風險，請使用慢食碗餵食。","由於標準貴賓犬容易患有髖關節發育不良，因此應服用含有葡萄糖胺和軟骨素的關節補充劑。選擇非處方補充劑時要小心，因為許多補充劑並不含有包裝上列出的成分量。您的獸醫可以告訴您它們喜歡的品牌——一些受歡迎的選擇包括 Dasuquin 和 GlycoFlex。"
"9","柴犬","34.3-39.4 公分","7.7 公斤","13-16 年","柴犬和大多數犬種以及人類最常見的健康問題是過敏。對狗來說，過敏表現為皮膚刺激和搔癢。目前沒有辦法對種畜進行測試，但患有活動性過敏症的狗不應繁殖。除非能確定過敏原的來源，否則大多數患有過敏的狗都可以像人類一樣，透過治療症狀的產品過正常的生活。過敏通常在狗狗至少 6 個月大時才會顯現出來。負責任的飼養者會對牲畜進行健康檢查，例如髖關節發育不良、眼部疾病和髕骨脫位等。","髕骨評估 |髖關節評估 |眼科醫師評估","給你的柴犬餵食美國飼料管理協會 (AAFCO) 批准的食物。這意味著該食品經過認證，含有均衡飲食所需的標準成分和營養成分。
含有葡萄糖胺以支持關節和增加脂肪酸以支持皮膚的飲食是柴犬的理想選擇。與您的獸醫交談，找出哪種食物最適合您的小狗的需求。","柴犬可以餵食乾糧或罐頭食品。理想情況下，成年人應該每天餵食兩次。柴犬幼犬需要更頻繁地進食－每天三到四次。
這些狗往往是草食動物。如果您有多隻狗，請確保您的柴犬不會吃超過其份量的食物。電子餵食器（例如使用寵物微晶片的餵食器）有助於確保每隻狗隻能吃到自己的粗磨食物。
不要餵食過多，因為這會導致肥胖和一系列其他健康問題。","柴犬容易患關節炎，尤其是患有髕骨脫位的犬。含有葡萄糖胺的優質關節補充劑有助於減緩關節問題的發展或進展。給你的柴犬餵食脂肪酸補充劑（例如魚油）也可能有幫助，有助於皮膚和毛髮的健康。
如果您認為您的狗可以從補充劑中受益，請諮詢您的獸醫，並且切勿在沒有獸醫指導的情況下餵食您的狗補充劑。"
"10","雪納瑞","30.5-35.6 公分","5.0-9.1 公斤","12-15 年","迷你雪納瑞通常是一種健康的犬種。此品種易患一些疾病，包括白內障、高血脂、胰臟炎、肝分流和尿結石。負責任的飼養者會對種畜進行檢測，以發現可能影響該品種的健康問題。主人應密切注意狗的整體狀況，如有任何問題或疑慮，請諮詢獸醫。牙齒護理是整體健康的重要方面，應該經常給狗狗刷牙。","心臟檢查 |眼科醫師評估","迷你雪納瑞雖然體型較小，但需要均衡的飲食來為活躍的生活方式提供能量。它們應該餵食經美國飼料管理協會批准並專為小型犬配製的狗糧。","成年犬應每天餵食兩次，但迷你雪納瑞幼犬可以定期餵食少量、多次的餐食（每天三到四次）。","您的愛犬應該從 AAFCO 認可的狗糧中獲取其所需的所有營養。您的獸醫可以指導是否需要額外的補充品。"
